Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
(Pathways Public Health Associates Program) - Public Health Advisor,Centers for Disease Control and Prevention,"Salt Lake City, Utah",GS,43106,56039,0685,2026-04-06,2026-04-13,https://www.usajobs.gov:443/job/864047600
Accountant,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0510,2026-04-30,2026-05-06,https://www.usajobs.gov:443/job/866776900
Accountant (Systems),Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,53361,102669,0510,2026-07-10,2026-07-14,https://www.usajobs.gov:443/job/875795100
Agency Resolution Official,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,156451,197200,0301,2026-02-26,2026-03-02,https://www.usajobs.gov:443/job/858995900
Biologist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,78972,102669,0401,2026-04-10,2026-04-17,https://www.usajobs.gov:443/job/864273900
Biologist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,96654,123052,0401,2026-04-13,2026-04-20,https://www.usajobs.gov:443/job/864399500
Biologist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0401,2026-04-15,2026-04-21,https://www.usajobs.gov:443/job/864975400
Biologist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,133007,172915,0401,2026-07-16,2026-07-25,https://www.usajobs.gov:443/job/876370700
Budget Analyst,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0560,2026-04-29,2026-05-06,https://www.usajobs.gov:443/job/867110200
Budget Analyst,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0560,2026-08-07,2026-08-17,https://www.usajobs.gov:443/job/879186300
Chemist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,78972,102669,1320,2026-04-20,2026-04-27,https://www.usajobs.gov:443/job/865710700
Chemist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,94654,123052,1320,2026-05-11,2026-05-18,https://www.usajobs.gov:443/job/868357400
Computer Scientist (Data Scientist),Centers for Disease Control and Prevention,"San Francisco, California",GS,125776,163514,1550,2026-04-03,2026-04-09,https://www.usajobs.gov:443/job/863308100
Computer Scientist (Data Scientist),Centers for Disease Control and Prevention,"San Francisco, California",GS,112556,146325,1550,2026-04-08,2026-04-17,https://www.usajobs.gov:443/job/863799600
Computer Scientist (Informatics),Centers for Disease Control and Prevention,"Bruceton, Pennsylvania",GS,110047,143062,1550,2026-08-04,2026-08-17,https://www.usajobs.gov:443/job/879007500
Data Scientist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,133007,172915,1560,2026-09-02,2026-09-06,https://www.usajobs.gov:443/job/882835500
Data Scientist,Centers for Disease Control and Prevention,"Hyattsville, Maryland",GS,143013,187093,1560,2026-07-21,2026-07-27,https://www.usajobs.gov:443/job/876479100
"Dir, Nat'l Center for State, Tribal, Local, & Territorial Public Health Infrastructure & Workforce",Centers for Disease Control and Prevention,"Atlanta, Georgia",RF,197200,275000,0601,2026-06-15,2026-06-29,https://www.usajobs.gov:443/job/871819700
"Director, National Center for Birth Defects and Developmental Disabilities (NCBDDD)",Centers for Disease Control and Prevention,"Atlanta, Georgia",RF,197200,275000,0601,2026-07-13,2026-07-27,https://www.usajobs.gov:443/job/876218200
"Director, National Center for Chronic Disease Prevention and Health Promotion",Centers for Disease Control and Prevention,"Atlanta, Georgia",RF,197200,275000,0602,2026-06-11,2026-06-25,https://www.usajobs.gov:443/job/871747200
"Director, National Center for Chronic Disease Prevention and Health Promotion",Centers for Disease Control and Prevention,"Atlanta, Georgia",RF,197200,275000,0601,2026-07-09,2026-07-23,https://www.usajobs.gov:443/job/875649500
"Director, National Center for Emerging and Zoonotic Infectious Diseases (NCEZID)",Centers for Disease Control and Prevention,"Atlanta, Georgia",RF,197200,275000,0601,2026-06-25,2026-07-09,https://www.usajobs.gov:443/job/873926200
"Director, National Center for HIV, Viral Hepatitis, STD, and TB Prevention",Centers for Disease Control and Prevention,"Atlanta, Georgia",RF,197200,275000,0601,2026-07-06,2026-07-20,https://www.usajobs.gov:443/job/875219700
